:Number	Year	Date	County	Area	Status	Sex	TotalLength	CrusherClawWidth	CrusherLoss	SiccorLoss	ClawRatio
649	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	298	56	0	0	0.187919463
650	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	330	53	0	0	0.160606061
651	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	244	42	0	0	0.172131148
652	2017	22/08/2017	Vestfold	Haneflu	MPA	Males	350	89	0	0	0.254285714
653	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	271	48	0	0	0.177121771
654	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	259	44	0	0	0.16988417
655	2017	22/08/2017	Vestfold	Haneflu	MPA	Males	268	52	0	0	0.194029851
656	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	259	39	0	0	0.150579151
657	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	310	52	0	0	0.167741935
658	2017	22/08/2017	Vestfold	Haneflu	MPA	Males	270	48	0	0	0.177777778
659	2017	22/08/2017	Vestfold	Haneflu	MPA	Males	243	44	0	0	0.181069959
660	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	262	45	0	0	0.171755725
661	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	303	49	0	0	0.161716172
662	2017	22/08/2017	Vestfold	Haneflu	MPA	Males	277	62	0	0	0.223826715
663	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	269	44	0	0	0.163568773
664	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	365	52	0	0	0.142465753
665	2017	22/08/2017	Vestfold	Haneflu	MPA	Males	197	26	0	0	0.131979695
666	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	268	43	0	0	0.160447761
667	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	212	33	0	0	0.155660377
668	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	278	36	0	0	0.129496403
669	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	289	47	0	0	0.162629758
670	2017	22/08/2017	Vestfold	Haneflu	MPA	Males	283	58	0	0	0.204946996
671	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	275	46	0	0	0.167272727
672	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	270	44	0	0	0.162962963
673	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	245	38	0	0	0.155102041
674	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	312	51	0	0	0.163461538
675	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	343	58	0	0	0.16909621
676	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	278	46	0	0	0.165467626
677	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	307	49	0	0	0.159609121
678	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	338	56	0	0	0.165680473
679	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	253	39	0	0	0.154150198
680	2017	22/08/2017	Vestfold	Haneflu	MPA	Females	274	48	0	0	0.175182482
681	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	290	66	0	0	0.227586207
682	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	213	35	0	0	0.164319249
683	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	354	84	1	0	0.237288136
684	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	286	54	0	0	0.188811189
685	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	350	79	0	0	0.225714286
686	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	331	52	0	0	0.157099698
687	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	320	54	0	0	0.16875
688	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	318	52	1	0	0.163522013
689	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	264	41	0	0	0.15530303
690	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	293	64	0	0	0.218430034
691	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	370	92	0	0	0.248648649
692	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	307	60	0	0	0.195439739
693	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	268	44	0	0	0.164179104
694	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	304	61	0	0	0.200657895
695	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	230	37	0	0	0.160869565
696	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	256	46	0	0	0.1796875
697	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	209	32	0	0	0.153110048
698	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	313	52	0	0	0.166134185
699	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	265	53	0	0	0.2
700	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	313	54	0	0	0.172523962
701	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	347	81	0	0	0.233429395
702	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	295	51	0	0	0.172881356
703	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	275	41	0	0	0.149090909
704	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	305	68	0	0	0.22295082
705	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	343	62	0	1	0.180758017
706	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	293	67	0	0	0.228668942
707	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	265	41	0	0	0.154716981
708	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	211	35	0	0	0.165876777
709	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	228	39	0	0	0.171052632
710	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	338	60	0	0	0.177514793
711	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	338	55	0	0	0.162721893
712	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	326	55	0	0	0.168711656
713	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	292	60	0	0	0.205479452
714	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	248	48	0	0	0.193548387
715	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	262	43	0	0	0.164122137
716	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	202	33	0	0	0.163366337
717	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	240	33	0	0	0.1375
718	2017	23/08/2017	Vestfold	Haneflu	MPA	Males	251	45	0	0	0.179282869
719	2017	23/08/2017	Vestfold	Haneflu	MPA	Females	200	33	0	0	0.165
720	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	206	35	0	0	0.169902913
721	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	322	51	0	0	0.158385093
722	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	210	35	0	0	0.166666667
723	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	262	42	0	0	0.160305344
724	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	298	48	0	0	0.161073826
725	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	258	47	0	0	0.182170543
726	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	270	45	0	0	0.166666667
727	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	246	45	0	0	0.182926829
728	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	248	42	0	0	0.169354839
729	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	266	45	0	0	0.169172932
730	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	252	43	0	0	0.170634921
731	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	213	25	0	0	0.117370892
732	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	220	40	0	0	0.181818182
733	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	266	45	0	0	0.169172932
734	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	251	41	0	0	0.163346614
735	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	286	59	0	0	0.206293706
736	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	296	67	0	0	0.226351351
737	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	291	64	0	0	0.219931271
738	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	263	48	0	0	0.182509506
739	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	220	36	0	0	0.163636364
740	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	252	41	0	0	0.162698413
741	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	239	41	0	0	0.171548117
742	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	296	59	0	0	0.199324324
743	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	362	91	0	0	0.251381215
744	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	340	55	0	0	0.161764706
745	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	238	39	0	0	0.163865546
746	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	324	60	0	0	0.185185185
747	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	288	54	0	0	0.1875
748	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	267	51	0	0	0.191011236
749	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	269	45	0	0	0.167286245
750	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	360	46	0	0	0.127777778
751	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	333	67	0	0	0.201201201
752	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	347	76	0	0	0.219020173
753	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	358	59	0	0	0.164804469
754	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	290	56	0	0	0.193103448
755	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	298	63	0	0	0.211409396
756	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	262	43	0	0	0.164122137
757	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Females	315	55	0	0	0.174603175
758	2018	05/09/2018	Aust-Agder	Flodevigen	MPA	Males	326	73	0	0	0.22392638
759	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Females	356	56	0	0	0.157303371
760	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Females	344	58	0	0	0.168604651
761	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Females	381	70	0	0	0.183727034
762	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	304	62	0	0	0.203947368
763	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	274	51	0	0	0.186131387
764	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Females	312	51	0	0	0.163461538
765	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Females	289	48	0	0	0.166089965
766	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	257	46	0	0	0.178988327
767	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	230	37	0	0	0.160869565
768	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	226	37	0	0	0.163716814
769	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	275	53	0	0	0.192727273
770	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Females	164	25	0	0	0.152439024
771	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	210	33	0	0	0.157142857
772	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	260	48	0	0	0.184615385
773	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	228	43	0	0	0.188596491
774	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	236	39	0	0	0.165254237
775	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Females	296	47	0	0	0.158783784
776	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	262	52	0	0	0.198473282
777	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	281	55	0	0	0.195729537
778	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Females	269	43	0	0	0.159851301
779	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Females	395	66	0	0	0.167088608
780	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	315	62	0	0	0.196825397
781	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	285	55	0	0	0.192982456
782	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	292	57	0	0	0.195205479
783	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	256	46	0	0	0.1796875
784	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Females	347	27	0	0	0.077809798
785	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Females	327	54	0	0	0.165137615
786	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Females	371	62	0	0	0.167115903
787	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Females	297	48	0	0	0.161616162
788	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Females	298	48	0	0	0.161073826
789	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Females	311	50	0	0	0.160771704
790	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Females	314	51	0	0	0.162420382
791	2018	06/09/2018	Aust-Agder	Flodevigen	MPA	Males	342	68	0	0	0.198830409
792	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	300	51	0	0	0.17
793	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Males	310	67	0	0	0.216129032
794	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	257	41	0	0	0.159533074
795	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	302	46	0	0	0.152317881
796	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	220	32	0	0	0.145454545
797	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	290	50	0	0	0.172413793
798	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Males	288	56	0	0	0.194444444
799	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	230	37	0	0	0.160869565
800	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	335	32	0	0	0.095522388
801	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Males	198	31	0	0	0.156565657
802	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	273	44	0	0	0.161172161
803	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	294	47	0	0	0.159863946
804	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	225	37	0	0	0.164444444
805	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	223	36	0	0	0.161434978
806	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	330	54	0	0	0.163636364
807	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	313	53	0	0	0.169329073
808	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Males	276	52	0	0	0.188405797
809	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	340	55	0	0	0.161764706
810	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Males	260	41	0	0	0.157692308
811	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Males	372	94	0	0	0.252688172
812	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Males	365	79	0	0	0.216438356
813	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Males	295	62	0	0	0.210169492
814	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Males	338	72	0	0	0.213017751
815	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	366	62	0	0	0.169398907
816	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	305	52	0	0	0.170491803
817	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	355	57	0	0	0.16056338
818	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	210	32	0	0	0.152380952
819	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Males	235	42	0	0	0.178723404
820	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Males	215	32	0	0	0.148837209
821	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	359	56	0	0	0.155988858
822	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	297	50	0	0	0.168350168
823	2018	07/09/2018	Aust-Agder	Flodevigen	MPA	Females	330	58	0	0	0.175757576
824	2018	10/09/2018	Aust-Agder	Flodevigen	MPA	Females	303	50	0	0	0.165016502
825	2018	10/09/2018	Aust-Agder	Flodevigen	MPA	Males	300	57	0	0	0.19
826	2018	10/09/2018	Aust-Agder	Flodevigen	MPA	Males	310	59	0	0	0.190322581
827	2018	10/09/2018	Aust-Agder	Flodevigen	MPA	Males	312	54	0	0	0.173076923
828	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	238	41	0	0	0.172268908
829	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Females	257	42	0	0	0.163424125
830	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	188	30	0	0	0.159574468
831	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	162	23	0	0	0.141975309
832	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Females	214	33	0	0	0.154205607
833	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	225	37	0	0	0.164444444
834	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Females	218	35	0	0	0.160550459
835	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	245	47	0	0	0.191836735
836	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Females	257	42	0	0	0.163424125
837	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Females	231	38	0	0	0.164502165
838	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	258	46	0	0	0.178294574
839	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	256	41	0	0	0.16015625
840	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	278	56	0	0	0.201438849
841	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	296	67	0	0	0.226351351
842	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Females	332	57	0	0	0.171686747
843	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Females	307	53	0	0	0.172638436
844	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	335	57	0	0	0.170149254
845	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	296	34	0	0	0.114864865
846	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	274	52	0	0	0.189781022
847	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	277	56	0	0	0.202166065
848	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	345	73	0	0	0.211594203
849	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	227	43	0	0	0.189427313
850	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Females	310	50	0	0	0.161290323
851	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Females	263	42	0	0	0.159695817
852	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Females	230	39	0	0	0.169565217
853	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Females	350	56	0	0	0.16
854	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	286	59	0	0	0.206293706
855	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	382	93	0	0	0.243455497
856	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Females	278	44	0	0	0.158273381
857	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	238	46	0	0	0.193277311
858	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Females	306	54	0	0	0.176470588
859	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Females	326	56	0	0	0.171779141
860	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Males	378	92	0	0	0.243386243
861	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Females	320	52	0	0	0.1625
862	2018	04/09/2018	Aust-Agder	Flodevigen	MPA	Females	335	61	0	0	0.182089552
863	2018	05/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	182	30	0	0	0.164835165
864	2018	05/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	212	36	0	0	0.169811321
865	2018	05/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	190	30	0	0	0.157894737
866	2018	05/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	240	42	0	0	0.175
867	2018	05/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	212	35	0	0	0.16509434
868	2018	05/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	245	38	0	0	0.155102041
869	2018	05/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	196	32	0	0	0.163265306
870	2018	05/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	255	42	0	0	0.164705882
871	2018	05/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	215	37	0	0	0.172093023
872	2018	05/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	274	44	0	0	0.160583942
873	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	261	52	0	0	0.199233716
874	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	242	43	0	0	0.17768595
875	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	219	36	0	0	0.164383562
876	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	210	31	0	0	0.147619048
877	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	147	23	0	0	0.156462585
878	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	262	51	0	0	0.194656489
879	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	205	34	0	0	0.165853659
880	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	239	43	0	0	0.179916318
881	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	304	58	0	0	0.190789474
882	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	256	50	0	0	0.1953125
883	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	264	46	0	0	0.174242424
884	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	255	42	0	0	0.164705882
885	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	260	46	0	0	0.176923077
886	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	230	49	0	0	0.213043478
887	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	209	33	0	0	0.157894737
888	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	195	31	0	0	0.158974359
889	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	235	47	0	0	0.2
890	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	269	58	0	0	0.215613383
891	2018	06/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	162	26	0	0	0.160493827
892	2018	07/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	204	31	0	0	0.151960784
893	2018	07/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	266	42	0	0	0.157894737
894	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	283	46	0	0	0.16254417
895	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	280	50	0	0	0.178571429
896	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	225	41	0	0	0.182222222
897	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	223	39	0	0	0.174887892
898	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	218	35	0	0	0.160550459
899	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	213	33	0	0	0.154929577
900	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	238	41	0	0	0.172268908
901	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	242	39	0	0	0.161157025
902	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	255	41	0	0	0.160784314
903	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	237	40	0	0	0.168776371
904	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	203	33	0	0	0.162561576
905	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	245	39	0	0	0.159183673
906	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	200	35	0	0	0.175
907	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	267	45	0	0	0.168539326
908	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	250	46	0	0	0.184
909	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	312	60	0	0	0.192307692
910	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	337	54	0	0	0.160237389
911	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	217	36	0	0	0.165898618
912	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	193	30	0	0	0.155440415
913	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	278	54	0	0	0.194244604
914	2018	10/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	267	43	0	0	0.161048689
915	2018	04/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	204	32	0	0	0.156862745
916	2018	04/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	257	42	0	0	0.163424125
917	2018	04/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	292	49	0	0	0.167808219
918	2018	04/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	204	32	0	0	0.156862745
919	2018	04/09/2018	Aust-Agder	Gjervoldsoy	Fished	Females	271	38	0	0	0.140221402
920	2018	04/09/2018	Aust-Agder	Gjervoldsoy	Fished	Males	200	33	0	0	0.165
921	2018	26/08/2018	Østfold	Kvernskjar	MPA	Females	245	42	0	0	0.171428571
922	2018	26/08/2018	Østfold	Kvernskjar	MPA	Females	305	51	0	0	0.167213115
923	2018	26/08/2018	Østfold	Kvernskjar	MPA	Females	273	48	0	0	0.175824176
924	2018	26/08/2018	Østfold	Kvernskjar	MPA	Males	270	58	0	0	0.214814815
925	2018	26/08/2018	Østfold	Kvernskjar	MPA	Females	257	45	0	0	0.175097276
926	2018	26/08/2018	Østfold	Kvernskjar	MPA	Females	323	52	0	0	0.160990712
927	2018	26/08/2018	Østfold	Kvernskjar	MPA	Males	224	41	0	0	0.183035714
928	2018	26/08/2018	Østfold	Kvernskjar	MPA	Females	359	57	0	0	0.158774373
929	2018	26/08/2018	Østfold	Kvernskjar	MPA	Females	227	39	0	1	0.171806167
930	2018	26/08/2018	Østfold	Kvernskjar	MPA	Males	240	42	0	0	0.175
931	2018	26/08/2018	Østfold	Kvernskjar	MPA	Females	214	32	0	0	0.14953271
932	2018	26/08/2018	Østfold	Kvernskjar	MPA	Males	277	60	0	0	0.216606498
933	2018	26/08/2018	Østfold	Kvernskjar	MPA	Males	212	39	0	0	0.183962264
934	2018	26/08/2018	Østfold	Kvernskjar	MPA	Females	217	36	0	0	0.165898618
935	2018	26/08/2018	Østfold	Kvernskjar	MPA	Females	267	46	0	0	0.172284644
936	2018	26/08/2018	Østfold	Kvernskjar	MPA	Females	263	46	0	0	0.174904943
937	2018	26/08/2018	Østfold	Kvernskjar	MPA	Males	290	61	0	0	0.210344828
938	2018	26/08/2018	Østfold	Kvernskjar	MPA	Males	247	51	0	0	0.206477733
939	2018	26/08/2018	Østfold	Kvernskjar	MPA	Females	271	28	0	0	0.103321033
940	2018	26/08/2018	Østfold	Kvernskjar	MPA	Males	291	61	0	0	0.209621993
